,Cif,Name,Site,CN,OS,Period,Group,SDofBV,Angles
307,100504.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Si2,4.0,4.0,3,4,0.02,"[113.678, 111.648, 111.438, 109.293, 105.42, 105.195]"
308,151435.cif,Cr6+:2.000 Li1+:14.000 N3-:8.000 O2-:1.000,Li2,4.0,1.0,2,1,0.044,"[130.511, 117.303, 110.842, 105.771, 101.648, 86.709]"
308,100504.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Si3,4.0,4.0,3,4,0.012,"[112.191, 111.223, 110.793, 109.026, 107.939, 105.414]"
309,151435.cif,Cr6+:2.000 Li1+:14.000 N3-:8.000 O2-:1.000,Li3,4.0,1.0,2,1,0.017,"[111.839, 111.833, 111.833, 106.99, 106.99, 106.99]"
309,100504.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Si4,4.0,4.0,3,4,0.015,"[112.098, 111.125, 110.714, 109.141, 107.842, 105.7]"
325,151638.cif,Li1+:7.463 O2-:32.000 V3+:8.544 V4+:7.456 Zn2+:0.537,Li1,4.0,1.0,2,1,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
325,100505.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Si4,4.0,4.0,3,4,0.015,"[112.098, 111.125, 110.714, 109.141, 107.842, 105.7]"
326,151638.cif,Li1+:7.463 O2-:32.000 V3+:8.544 V4+:7.456 Zn2+:0.537,Zn1,4.0,2.0,4,2,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
326,100506.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Al2,4.0,3.0,3,3,0.023,"[112.253, 111.549, 110.555, 109.075, 107.794, 105.349]"
327,151639.cif,Li1+:5.888 O2-:32.000 V3+:10.112 V4+:5.888 Zn2+:2.112,Li1,4.0,1.0,2,1,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
327,100506.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Al1,4.0,3.0,3,3,0.014,"[113.353, 111.734, 111.722, 109.445, 105.207, 105.177]"
